,index,amt,merchant_1,merchant_2,category,year,city_pop,is_fraud
1050031,1050031,81.9,215,-1,2,1997,10295,0
1085764,1085764,77.32,113,-1,2,1967,673342,0
568811,568811,79.25,546,-1,3,1964,5438,0
407021,407021,5.58,522,-1,9,1997,276896,0
20297,20297,62.01,339,88,2,1933,18760,0
285688,285688,25.75,417,-1,10,1974,241,0
384460,384460,100.24,588,66,11,1988,885,0
356416,356416,7.3,308,169,5,1970,23805,0
155085,155085,19.67,46,188,3,1974,241,0
886488,886488,79.45,148,-1,2,1953,9506,0
31335,31335,118.22,182,-1,7,1953,1631,0
971984,971984,87.66,328,-1,4,1989,140,0
1237382,1237382,9.73,331,-1,12,1977,10076,0
611754,611754,70.71,355,-1,7,1987,647,0
1128743,1128743,37.25,175,-1,5,1963,171170,0
185353,185353,45.7,175,-1,5,1956,263,0
693077,693077,51.88,127,-1,0,1996,564,0
616425,616425,143.66,254,72,4,1945,348,0
1293959,1293959,107.12,645,-1,5,1988,35371,0
359479,359479,7.35,441,-1,10,1962,2092,0
636492,636492,16.06,521,9,11,1942,2328,0
193703,193703,25.51,563,-1,1,1974,151785,0
748414,748414,135.08,115,-1,8,2005,267,0
1121507,1121507,6.03,412,43,8,1971,4015,0
156078,156078,6.02,39,108,10,1973,635,0
254817,254817,26.4,390,99,1,1998,6703,0
210969,210969,7.22,232,-1,12,1983,540,0
100311,100311,2.7,488,30,13,1985,409656,0
214064,214064,30.65,273,-1,0,1952,254,0
285141,285141,78.88,312,-1,4,1972,863,0
68290,68290,40.31,567,75,2,1987,12335,0
234233,234233,157.74,225,-1,4,1972,743,0
471852,471852,82.93,265,-1,3,1971,4015,0
435750,435750,8.94,167,-1,8,1926,1324,0
972487,972487,30.36,261,-1,5,1957,759,0
1041267,1041267,1.46,28,93,12,1966,47772,0
128360,128360,24.16,400,32,10,1960,927396,0
959926,959926,6.69,295,-1,12,1960,3487,0
631993,631993,59.88,68,-1,4,1994,4354,0
1202029,1202029,44.9,378,-1,7,1952,736284,0
1204284,1204284,96.56,467,-1,6,1979,6469,0
517719,517719,6.16,610,-1,5,1955,207,0
433629,433629,73.53,24,-1,7,1954,337,0
626985,626985,6.46,262,-1,12,1987,5211,0
1156998,1156998,8.24,498,-1,13,1980,124967,0
1040140,1040140,18.91,515,52,0,1965,804,0
332560,332560,1.86,389,-1,12,1987,3688,0
611446,611446,27.7,295,-1,12,1994,1684,0
428030,428030,64.1,362,-1,2,1955,207,0
440203,440203,65.33,340,-1,3,1970,46563,0
985138,985138,134.87,263,-1,1,1955,973849,0
645513,645513,77.92,100,-1,5,1973,5507,0
204087,204087,12.44,234,173,1,1972,343,0
1025853,1025853,58.06,620,-1,3,1985,224256,0
1168201,1168201,61.66,22,-1,2,1951,1178,0
944887,944887,6.98,451,146,0,1981,3684,0
238946,238946,2.42,208,50,13,1948,2971,0
977310,977310,44.62,515,128,2,1987,910148,0
732440,732440,25.44,84,-1,6,1972,270712,0
126914,126914,5.56,476,101,11,1945,2290,0
778104,778104,40.11,555,-1,10,1984,85,0
199217,199217,24.04,412,207,6,1965,804,0
73918,73918,6.0,64,-1,11,1977,16183,0
1112178,1112178,1.29,181,-1,9,1986,2501,0
385691,385691,161.62,417,-1,10,1980,5512,0
208222,208222,147.48,529,120,4,1954,337,0
216475,216475,23.38,475,-1,10,1968,248,0
43296,43296,35.47,259,171,5,1999,2870,0
1087896,1087896,82.59,392,-1,9,1970,3833,0
84905,84905,207.31,543,-1,5,1974,1725,0
1078234,1078234,17.18,638,177,7,1956,263,0
338368,338368,15.95,211,-1,9,1946,450,0
710813,710813,4.73,544,-1,9,1977,399,0
881403,881403,148.29,638,177,7,1999,895,0
46852,46852,101.6,412,207,6,1963,67082,0
1100238,1100238,6.6,347,195,11,1977,26551,0
831041,831041,1.01,409,-1,11,1930,307,0
697751,697751,69.74,420,-1,2,1960,3487,0
987334,987334,9.21,587,-1,5,1959,1131,0
850590,850590,21.84,616,-1,7,1989,5662,0
778884,778884,98.54,601,-1,4,1974,177,0
67335,67335,86.96,248,76,0,1955,1312,0
897936,897936,20.84,445,-1,0,1965,96942,0
1017641,1017641,68.69,478,83,2,1964,192,0
1101800,1101800,8.31,61,-1,12,1989,71463,0
693274,693274,2.89,501,-1,5,1962,1762,0
218800,218800,8.61,28,93,12,1966,516,0
623707,623707,91.75,351,209,1,1992,5875,0
858285,858285,66.57,536,133,1,1997,3224,0
844155,844155,17.79,154,-1,10,1976,1643,0
1283937,1283937,7.78,179,-1,11,1949,13717,0
539330,539330,1.04,135,-1,8,1954,139,0
164036,164036,63.01,81,73,4,1947,6018,0
264147,264147,1.36,627,61,6,1986,27020,0
846324,846324,5.7,481,203,1,1961,247,0
995586,995586,14.88,616,-1,7,1980,493806,0
701030,701030,76.65,180,-1,0,1978,349,0
78234,78234,4.08,76,-1,9,1944,74,0
1079569,1079569,5.74,96,-1,12,1967,2435,0
1098650,1098650,1.96,461,-1,11,1999,1312922,0
672114,672114,31.24,251,-1,0,1980,509,0
217489,217489,85.6,635,208,6,1945,348,0
731268,731268,7.55,574,107,9,1955,76,0
351358,351358,100.95,44,-1,2,1956,35705,0
1213822,1213822,3.82,491,-1,9,1997,9594,0
626210,626210,59.0,439,-1,3,1956,732,0
447621,447621,94.1,113,-1,2,1962,2092,0
1213218,1213218,432.06,219,165,13,1970,34496,0
669985,669985,3.56,193,-1,13,1990,48194,0
588860,588860,81.99,563,-1,1,1958,2566,0
350298,350298,34.12,464,115,6,1978,5196,0
1293572,1293572,11.75,38,-1,12,1935,73,0
930187,930187,254.63,107,117,5,1989,71463,0
824259,824259,203.69,571,144,5,1977,7155,0
518295,518295,56.55,351,209,1,1960,626,0
1022307,1022307,121.56,58,-1,4,1989,1102,0
134543,134543,61.64,71,-1,2,1949,1274,0
25675,25675,6.93,144,-1,0,1957,1426,0
122100,122100,75.06,400,32,10,1981,1577385,0
1070629,1070629,1.83,181,-1,9,1987,16163,0
40776,40776,72.74,515,131,2,1983,186140,0
957983,957983,92.93,30,-1,1,1962,5908,0
1192324,1192324,5.18,468,-1,5,1954,1909,0
756683,756683,19.27,622,-1,0,1967,899,0
78188,78188,51.24,500,-1,3,1982,782,0
1195710,1195710,92.04,547,-1,9,1989,341043,0
139603,139603,46.92,413,-1,3,1989,1102,0
531496,531496,124.79,14,182,12,1986,337,0
653499,653499,20.96,568,-1,6,1929,18459,0
249518,249518,5.42,565,-1,12,1966,640470,0
389200,389200,12.43,499,36,12,1985,21125,0
220902,220902,86.72,50,-1,2,1978,5196,0
517808,517808,6.18,251,-1,0,1944,914,0
270328,270328,67.51,436,137,6,1974,241,0
1067163,1067163,139.08,116,34,7,1968,1565,0
1119885,1119885,159.2,106,-1,7,1990,722,0
1166315,1166315,12.4,157,136,0,1932,800,0
206597,206597,64.92,614,-1,1,1972,1261,0
502437,502437,62.23,372,-1,7,1954,337,0
